Institution Name,Institution Type,Website,Location
thinkB Agency,Corporates,N/A,"thinkB, Creative Agency, 204, 2nd Cross Rd, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India"
Future Revolution,Corporates,N/A,"2nd floor, club Road, 2084, 1st Main Rd, Hampi Nagar, Vijayanagar, Bengaluru, Karnataka 560104, India"
Webenza,Corporates,N/A,"3rd floor, Oxford House, 401 - 402, 15, Rustam Bagh Main Rd, Kodihalli, Bengaluru, Karnataka 560017, India"
Bud Creative Ad Agency,Corporates,N/A,"1st, Floor, 826, 3rd Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India"
TripleDart Digital,Corporates,N/A,"128 10th Cross Road, CMH Road, 1st Stage Rd, Binnamangala, Indiranagar, Bengaluru, Karnataka 560038, India"
Techno Corps,Corporates,N/A,"9th Floor, BARTON CENTRE, 912, Mahatma Gandhi Rd, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
InnogenX,Corporates,N/A,"InnogenX, 4th Floor, #1, Uma Admirality, Bannerghatta Rd, above HDFC Bank, OLd Gurappanapalya, BTM 1st Stage, Bengaluru, Karnataka 560029, India"
Shaynly - Business Marketing and Management,Corporates,N/A,"73, 3rd Main Rd, Murugeshpalya, Block A, K R Garden, Bengaluru, Karnataka 560017, India"
Social Beat,Corporates,N/A,"1st floor, KMJ Ascend, 19, 17th C Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India"
Brandshark,Corporates,N/A,"shop No. 966, Vishala Complex, 9th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
First Launch,Corporates,N/A,"No.922, 1st Floor, AVR Arcade, 28th Main Rd, Putlanpalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India"
Promarketo,Corporates,N/A,"121, 10th 'E' Main, 1st Block Jayanagar Landmark :, Ashoka Pillar Rd, Bengaluru, Karnataka 560011, India"
MuseComm Pvt Ltd,Corporates,N/A,"N35, Varalaxmi Mansion, Jeevan Bima Nagar Main Rd, LIC Colony, HAL 3rd Stage, Sector 11, New Tippasandra, Bengaluru, Karnataka 560075, India"
Shail Digital Pvt Ltd.,Corporates,N/A,"91 Springboard, Outer Ring Rd, Mahadevapura, Karnataka 560048, India"
My Haul Store,Corporates,N/A,"Ground floor, My haul store, Gold Hill Square, Service Rd, Popular Colony, Bommanahalli, Bengaluru, Karnataka 560068, India"
Success Stars,Corporates,N/A,"Wolfpack Workspaces, 39, 8th Main Rd, Vasanth Nagar, Bengaluru, Karnataka 560052, India"
Team Pumpkin,Corporates,N/A,"TPGlobal Creations Pvt Ltd. - 308 3rd floor, 7th Main Rd, HRBR Layout 1st Block, Kalyan Nagar, Bengaluru, Karnataka 560043, India"
LeadWalnut,Corporates,N/A,"1062, 2nd floor, 22nd cross, 22nd B Main Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India"
Clevertize,Corporates,N/A,"Wework Galaxy, 43, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
MarketingFuFu,Corporates,N/A,"37 Main, Kudlu Main Rd, near BTR Garden, AECS Layout - A Block, Hal Layout, Singasandra, Bengaluru, Karnataka 560068, India"
White And Grey Media,Corporates,N/A,"35/14, 3RD MAIN, 38TH ‘A’ CROSS, JAYANAGAR, 8TH BLOCK, Bengaluru, Karnataka 560070, India"
REIN Digital,Corporates,N/A,"Pionier Lake Districtt, 51 Greendales, Gattahalli, Bengaluru, Karnataka 560099, India"
Adzgear Digital Private Ltd,Corporates,N/A,"642, 1st floor 24th Main Road, Marenahalli Rd, opp. axis bank, near Raghavendra Swamy Mutt, 5th Block, Jayanagar, Bengaluru, Karnataka 560076, India"
Oworks Marketing Tech Pvt Ltd,Corporates,N/A,"985, 13th, 21st Main Rd, above Heart Care Clinic, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070, India"
Orion PR | PR agency in Bangalore | Strategic PR and Crisis Communications | Reputation Management,Corporates,N/A,"3068, 3rd Floor, 11th Main Rd, off 80 Feet Road, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008, India"
Web Digital Mantra IT Services,Corporates,N/A,"23, 3rd floor, nandita manison, 1st Cross, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560111, India"
Upload Digital,Corporates,N/A,"23/2, 2nd floor, Haudin Rd, Halasuru, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India"
Best Digital Marketing,Corporates,N/A,"Ground Floor, 1140-E, 3rd B Main Rd, near Coffee Day Restaurant, Vijayanagar 2nd stage, Hampi Nagar, Hosahalli Extension, Vijayanagar, Bengaluru, Karnataka 560040, India"
Openthrive,Corporates,N/A,"#2576, 13th Main Rd, 7th Cross Rd, E Block, Sahakar Nagar, Byatarayanapura, Bengaluru, Karnataka 560092, India"
Sales Design Institute | B2B Marketing & Lead Generation,Corporates,N/A,"K 1, 103, CENTRAL PARK 1, GOLF COURSE, Sector 42, Gurugram, Haryana 122009, India"
OutsourceACE IT & ITES Solutions Pvt Ltd,Corporates,N/A,"1421, 80 Feet Rd, 2nd Stage, HBR Layout 2nd Block, 3rd Block, HBR Layout, Bengaluru, Karnataka 560045, India"
Marconix Sales and Marketing Pvt. Ltd.,Corporates,N/A,"WJ4R+5GW, 1st Cross Rd, Neelakanteshwara Layout, 1st Sector, HSR Layout, Bengaluru, Karnataka 560068, India"
Cimmons Call Center Pvt Ltd,Corporates,N/A,"86/3, GOKUL TOWERS, MS Ramaiah Rd, HMR Layout, Gokula Extension, Mathikere, Bengaluru, Karnataka 560054, India"
"Transact Global BPO, Call center, IT Services",Corporates,N/A,"44/1-1, Centre, opp. Vaishnavi Sapphire, APMC Yard, Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka 560022, India"
Goalcryst India Private Limited,Corporates,N/A,"Old-657, Sai Samruddi Building, No-11, 11th A Main Rd, Marenahalli, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India"
Greet Technologies Private Limited,Corporates,N/A,"327-328, 6th Sector, 5th Main, Service Rd, HSR Layout, Bengaluru, Karnataka 560102, India"
Trupp Global Technologies Pvt. Ltd.,Corporates,N/A,"2hm, 201, 2nd Main Rd, East of NGEF Layout, Kasturi Nagar, Bengaluru, Karnataka 560043, India"
"ContactPoint360, Inc.",Corporates,N/A,"7th Floor, Subramanya Arcade Tower-A, IndiQube Arcade, OLd Gurappanapalya, BTM Layout, Bengaluru, Karnataka 560029, India"
IkonMytri Services Private Limited,Corporates,N/A,"175 & 176, 91, Springboard, Bannerghatta Rd, Dollar Layout, Phase 4, Bilekahalli, Bengaluru, Karnataka 560078, India"
Qbix BPO & Call Centre,Corporates,N/A,"2nd flr, Ananatheshwara Complex, No. 24/1, 5th Main, Jayamahal Extension, Jayamahal, Bengaluru, Karnataka 560006, India"
Valuestream Business Solutions Pvt ltd,Corporates,N/A,"Level 2, Z Square, No.92, Jyoti Nivas College Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India"
Marconix Sales Solutions Private Limited,Corporates,N/A,"2nd Floor, Purnachandra Towers, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Startek Aegis BPO,Corporates,N/A,"41, St Johns Rd, Rukmani Colony, Shivaji Nagar, Bengaluru, Karnataka 560042, India"
Aionex Outsourcing Services Pvt Ltd,Corporates,N/A,"3rd floor, #4&5, 50/2, 100 Feet, Outer Ring Rd, JP Nagar 6th Phase, Sarakki, Signal, J. P. Nagar, Bengaluru, Karnataka 560078, India"
OutSmart Services Pvt. Ltd,Corporates,N/A,"No. 303 Esteem Plaza, Near Bashyam Circle, 560080, Sadashiva Nagar, Armane Nagar, Bengaluru, Karnataka 560080, India"
factoHR HR Payroll Software,Corporates,N/A,"No.43, 10th Main Rd, Prasanti Nagar, ISRO Layout, Bengaluru, Karnataka 560111, India"
Zamstars Management Services (India) Private Limited,Corporates,N/A,"742, RJ Villa, 8th A Main Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India"
CANWIN HR SERVICES PRIVATE LIMITED,Corporates,N/A,"4th Floor, Zed One Building, 6/A, KHB Colony, 7th Block, Koramangala, Bengaluru, Karnataka 560095, India"
Allsec technologies,Corporates,N/A,"Vinayaka Complex, 45/7, Residency Rd 1st Cross, above Bank Of Baroda, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
ProGlobalBusinessSolutions,Corporates,N/A,"5th Phase, J P Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078, India"
Syrow : Top AI + Human Based Customer Support and Tele Calling Call Center,Corporates,N/A,"1st Floor, 243, 9th Main Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India"
Bill Gosling India Private Ltd,Corporates,N/A,"430, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India"
Nextwebi IT Solutions Pvt. Ltd.,Corporates,N/A,"4th Floor, 32/1, NCPR Layout, Doddanekundi Whitefield, near ITPL Main Road, Mahadevapura, Bengaluru, Karnataka 560048, India"
SolutionBuggy - India’s Largest Consulting Platform to Start-Run-Grow Manufacturing Business,Corporates,N/A,"249, 2nd floor, 14th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Interrival Technology Services India Pvt. Ltd.,Corporates,N/A,"B.R.Complex, #22, 2nd floor 1st cross, 1st Main Rd, 1st block, Nandini Layout, Bengaluru, Karnataka 560096, India"
Transact Global,Corporates,N/A,"6, BK Nagar Main Rd, LIC Colony, Yeswanthpur, Bengaluru, Karnataka 560022, India"
Back Office Pro,Corporates,N/A,"6, Dodda Banaswadi Main Rd, Lakshmamma Layout, Dodda Banaswadi, Bengaluru, Karnataka 560043, India"
Prolific HR Consultants India Limited,Corporates,N/A,"Awfis, Dayananda Sagar University, Hosur Rd, Kudlu Gate, Srinivasa Nagar, Hal Layout, Singasandra, Bengaluru, Karnataka 560068, India"
Venturepluz Solutions,Corporates,N/A,"#13, 2nd Floor, Meenakshi Kovil St, Shivaji Nagar, Bengaluru, Karnataka 560051, India"
TopHawks Marketing Solutions,Corporates,N/A,"B-53, Noida Rd, Wave City Center, D Block, Sector 32, Noida, Uttar Pradesh 201307, India"
E2E Management Services,Corporates,N/A,"Space 55, 10th Cross Rd, West of Chord Road 2nd Stage, West of Chord Road, Stage 2, Nagapura, Bengaluru, Karnataka 560086, India"
Radiate E Services Pvt Ltd - Call Center Outsourcing,Corporates,N/A,"C-164, C Block, Sector 63, Noida, Hazratpur Wajidpur, Uttar Pradesh 201309, India"
Strategic Outsourcing Services,Corporates,N/A,"No. 10, Venkat Reddy Layout, Venkata Reddy Layout, 6th Block, Koramangala, Bengaluru, Karnataka 560095, India"
Multi Recruit,Corporates,N/A,"2nd Floor, 103, Bull Temple Rd, above Anurag Motors, Mahantara Lay Out, Kempegowda Nagar, Bengaluru, Karnataka 560004, India"
ManpowerGroup Services India Pvt Ltd. | Leadership Training Programs in Bangalore,Corporates,N/A,"Unit No. 701 to 704, 7th Floor, HMG Ambassador, 137, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
Paybooks Technologies India Private Limited,Corporates,N/A,"2nd Floor, UB PLAZA, Vittal Mallya Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
"𝗗𝗶𝗴𝗶𝘁𝗮𝗹𝗶𝗻𝗱𝗶𝗮𝗮𝗱𝗱, 𝗗𝗶𝗴𝗶𝘁𝗮𝗹 𝗠𝗮𝗿𝗸𝗲𝘁𝗶𝗻𝗴 𝗔𝗴𝗲𝗻c𝘆 𝗶𝗻 𝗕𝗮𝗻𝗴𝗮𝗜𝗼𝗿𝗲",Corporates,N/A,"#104/1, 6th Cross, 560029, 2nd Main Rd, Tavarekere, Bengaluru, Karnataka 560029, India"
SKIMBOX,Corporates,N/A,"Wework, Prestige Cube Building, 26, Hosur Rd, Chikku Lakshmaiah Layout Adugodi, Koramangala, Bengaluru, Karnataka 560030, India"
Career Choice Solution: Bangalore HR Consultancy | Manpower Outsourcing | Bangalore Recruitment Agency,Corporates,N/A,"First Floor, Bannerghatta Main Road, 18, 2nd Main Rd, BTM 2nd Stage, Bengaluru, Karnataka 560076, India"
Flatworld Solutions Pvt. Ltd.,Corporates,N/A,"6, Dodda Banaswadi Main Rd, Lakshmamma Layout, Dodda Banaswadi, Bengaluru, Karnataka 560043, India"
Scgb Solutions,Corporates,N/A,"32, 2nd floor, 32nd Cross Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560082, India"
GK HR Consulting India Pvt. Ltd.,Corporates,N/A,"79, 2nd Floor 1st Main Road, Kothnur Dinne Main Rd, opp. Smart Bazaar, Santrupthi Nagar, JP Nagar 7th Phase, Bengaluru, Karnataka 560078, India"
INCRUITER | INTERVIEW AS A SERVICE | AI INTERVIEWER,Corporates,N/A,"1st Floor, 732, Chinmaya Mission Hospital Rd, opp. Starbucks, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India"
I Recruitment Services,Corporates,N/A,"Mahatma Gandhi Rd, anil kumble Circle, Ashok nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
peopleHum - Best HR & Payroll Software,Corporates,N/A,"1074, 24th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Vtech Integrated Solutions,Corporates,N/A,"No. 45, 1st Floor, 100 Ft. Ring Road Vysha Bank Colony, Mico Layout, BTM 2nd Stage, Bengaluru, Karnataka 560029, India"
"Vishaal Consultancy Services - Payroll Processing & Outsourcing, Statutory Compliance, Labour Law Compliance",Corporates,N/A,"New D’souza Layout, 15, Kerekodi Main Rd, near PES University, Banashankari 3rd Stage, Hosakerehalli, Bengaluru, Karnataka 560085, India"
Freshersworld.com,Corporates,N/A,"2nd Floor, WJM7+2MP Salarpuria Ascent Building, Teamlease, Jyoti Nivas College Rd, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095, India"
Adobe India,Corporates,N/A,"Adobe Tower, Block A, Prestige Platina Tech Park Marathahalli-Sarjapur Outer Ring Rd, Hobli, Village, Kadubeesanahalli, Bhoganahalli, Varthur, Karnataka 560103, India"
Spacegraph Technologies Private Limited,Corporates,N/A,"2nd Floor, No.125/31, Annapoorneshwari Towers 33rd Cross, 11th, Main Road, 4th T Block East, Jayanagar, Bengaluru, Karnataka 560011, India"
Outsourcing Company,Corporates,N/A,"Vinayaka Ciecle, Bus Stop, 2nd Main Rd, HN Layout, Malleshwaram, Bengaluru, Karnataka 560003, India"
UpTaught Edtech Pvt Ltd.,Corporates,N/A,"70, 4th Floor, B Block, 7th Main, A Cross, near BDA Complex, KHB Block Koramangala, Koramangala 4-B Block, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India"
Edutech India,Corporates,N/A,"10th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008, India"
AMCI Edtech Pvt. Ltd.,Corporates,N/A,"4th FLOOR, SJB IT-CSE & ISE Block, BGS Health & Education City Campus, Kodipalya, Bengaluru, Karnataka 560060, India"
Techstrivers - Edutech Company,Corporates,N/A,"No.85 &86, Ground Floor, BSF STS Road, Yelahanka, near Reva Circle, Sirinagar Layout, Kattigenahalli, Bengaluru, Karnataka 560064, India"
Internschoice EdTech Pvt Ltd,Corporates,N/A,"InternsChoice H.O, 5th Cross Road, Horamavu Main Rd, near to Railway Bridge Underpass, Ashirvad Colony, P&T Layout, Bengaluru, Karnataka 560113, India"
Guardians EdTech,Corporates,N/A,"1st Floor, Venasa Arcade, 37/38, 3rd Block, Koramangala 1A Block, SBI Colony, Koramangala, Bengaluru, Karnataka 560034, India"
Dexterity Edtech Pvt Ltd,Corporates,N/A,"3rd FLOOR, BGS HOSPITAL ROAD, NO 343, REDDY COMPLEX, MYLASANDRA, KENGARI HOBALI, Global Village Rd, BACK GATE, Bengaluru, Karnataka 560059, India"
Eduquity Career Technologies Pvt. Ltd.,Corporates,N/A,"7th Floor, Ajmera Nucleus, 424C, Shanthi Pura, Phase II, Electronic City, Bengaluru, Karnataka 560100, India"
Toprankers Bangalore,Corporates,N/A,"ITPB, 7th Floor, 40, ITPL Main Rd,Innovator Building, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066, India"
Cloodon Learning Pvt Ltd,Corporates,N/A,"3rd Floor, Phoenix Towers, 3rd Floor, Reliaable, 16, 16/1, Museum Rd, Bengaluru, Karnataka 560025, India"
UNext Learning Private Limited,Corporates,N/A,"1/1, 1st Floor, UNext Towers, 1/1, Old Madras Rd, off Mahatma Gandhi Road, near Trinity Circle, Halasuru, Someshwarpura, Bengaluru, Karnataka 560008, India"
Techmiya Ed-Tech,Corporates,N/A,"28th Main Rd, 3rd Phase, Jayanagar, Bengaluru, Karnataka 560041, India"
AlmaBetter Edutech Private Limited,Corporates,N/A,"2nd Floor, Bizzhub Coworking, A/7, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India"
SkillVertex,Corporates,N/A,"5th, 14th B Cross Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India"
Teachnook,Corporates,N/A,"5th Main Rd, opposite FOOD ONE HYPER MART, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Mindenious Edutech,Corporates,N/A,"5, 14th Main Road, 15th Cross Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102, India"
ProEdge Skill Development and Edutech,Corporates,N/A,"213, 2nd Floor, Rainmakers Workspace, Ramanashree Arcade, 18, Mahatma Gandhi Rd, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India"
Prepisely Edutech,Corporates,N/A,"BHIVE Workspace, 19, 4th C Cross Rd, KHB Colony, Industrial Area, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India"
iNurture Education Solutions Private Limited,Corporates,N/A,"No 11/4, Block B1, Niton Compound, Palace Rd, near Mount Carmel College, Bengaluru, Karnataka 560052, India"
"Axycube Solutions Pvt Ltd.,",Corporates,N/A,"Axycube Solutions Pvt. Ltd # 1101 Nandi Deepa Apt Doddakammanahalli Main Road, Off, Bannerghatta Main Road, next to Easy shopping mart, Bengaluru, Karnataka 560076, India"
Vinetras Edutech Private Limited,Corporates,N/A,"125, 16th Main Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560001, India"
Hirademy Technologies,Corporates,N/A,"BHIVE Workspace, AKR Tech Park, beside Thinklane Edutech, Kudlu Gate, Krishna Reddy Industrial Area, Hosapalaya, Bengaluru, Karnataka 560068, India"
FollowClass,Corporates,N/A,"9th Cross Road, #717, 8th Main Rd, BTM 2nd Stage, Bengaluru, Karnataka 560076, India"
VERZEO EDUTECH PRIVATE LIMITED,Corporates,N/A,"14th Cross Rd, 5th Phase, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India"
Wogle tech,Corporates,N/A,"Hustlehub Tech Park Building, PWD Quarters, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
SkilloVilla,Corporates,N/A,"3rd Floor, Datta Prabhas, 1st Main Rd, Sarakki Industrial Layout, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India"
"NetSkill - Corporate Training | LMS | LXP | Frontline Training Company, Bangalore",Corporates,N/A,"GoodWorks Cowork, Akshay Tech Park, 3rd floor, Vijayanagar, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, India"
GoGuardian - Snapwiz Edutec India Private Limited,Corporates,N/A,"2nd Floor, Tower 3, Prestige Blue Chip, Dairy Colony, Adugodi, Koramangala, Bengaluru, Karnataka 560029, India"
ETOE Global,Corporates,N/A,"296, 1st Floor, 15th A Cross Rd, Sector A, Yelahanka New Town, Bengaluru, Karnataka 560064, India"
Prodigiter- Agency Level Digital Marketing Training,Corporates,N/A,"Kodigehalli Main Rd, Bhadrappa Layout, Devinagar, Bengaluru, Karnataka 560094, India"
TopperRank,Corporates,N/A,"ITI Layout Main Road, ITI Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India"
Qollabb Edutech Private Limited,Corporates,N/A,"76, 40th Main Rd, KAS Officers Colony, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560068, India"
InMovidu Tech,Corporates,N/A,"22nd Cross Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102, India"
Weskill (HSR Office),Corporates,N/A,"4th Floor, Weskill, 678, 9th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Mintbook,Corporates,N/A,"2nd Floor, 678, 9th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
LearNow,Corporates,N/A,"737, Workspace365, 3rd Floor, 1st Stage, 2nd Cross, Kheny Plaza, CMH Main Road, Bengaluru, Karnataka 560038, India"
Scontinent Technologies Pvt Ltd,Corporates,N/A,"NO. 23, Mezzanine Floor, Outer Ring Rd, 2nd Block, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072, India"
Campalin Innovations,Corporates,N/A,"2nd & 3rd Floor, 235, 13th Cross Rd, Indira Nagar II Stage, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038, India"
AcceleratorX,Corporates,N/A,"3RD FLOOR NO. L, 367, 5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India"
Quant Masters Technologies Private Limited,Corporates,N/A,"1st Block, Rajajinagar, Bengaluru, Karnataka 560021, India"
Vioskills,Corporates,N/A,"8, 3rd Cross, Venkata Reddy Layout, 80 Feet Rd, Koramangala, Bengaluru, Karnataka 560095, India"
Xyram Software Solutions Pvt. Ltd,Corporates,N/A,"J. B. Arcade, No.96, Wilson Garden Housing Society, RBI Layout, JP Nagar 7th Phase, Bengaluru, Karnataka 560078, India"
Codingal,Corporates,N/A,"3rd Floor, House 147, 5th Main Rd, Rajiv Gandhi Nagar, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India"
Cadmaxx EdTech Pvt Ltd - Best Education and Job Placement Training Centre in Bengaluru,Corporates,N/A,"No. 2095, 1st floor, 5th main, 9th Cross Rd, Vijayanagar 2nd stage, Hampi Nagar, RPC Layout, Vijayanagar, Bengaluru, Karnataka 560104, India"
K12 Techno services Pvt. Ltd - Central Office Bangalore,Corporates,N/A,"K12 Techno services Pvt. Ltd, No 60/1 1st Main Road, Industrial Suburb, 2nd Stage, Yeshwanthpur Ward 42, Laxmidevi nagar, Bengaluru, Karnataka 560022, India"
SkillSonics India Pvt Ltd,Corporates,N/A,"2020, S End E Cross Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560041, India"
English For India,Corporates,N/A,"Global Incubation Services, behind Hotel Leela Palace, HAL 3rd Stage, Kodihalli, Bengaluru, Karnataka 560008, India"
Cuemath (CueLearn Pvt Ltd),Corporates,N/A,"2nd, 3rd Floor, 7, 80 Feet Rd, New Friends Colony, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India"
IntrnForte,Corporates,N/A,"BHIVE Workspace - No.112, AKR Tech Park, Ground floor, A Block, Studio 4, 7th Mile Hosur Rd, Krishna Reddy Industrial Area, Bengaluru, Karnataka 560068, India"
Kursaha Technologies Private Limited,Corporates,N/A,"Prestige Atlanta, 80 Feet Rd, Koramangala 1A Block, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034, India"
ISCHS - International School of Counselling and Holistic Studies,Corporates,N/A,"3rd Floor, 91Springboard, Padmavathi Complex, 80 Feet Rd, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095, India"
StayQrious Neoschool,Corporates,N/A,"1st Floor, KVD Towers, Old Madras Rd, Kadiranapalya, Indiranagar, Bengaluru, Karnataka 560038, India"
MobiGnosis,Corporates,N/A,"3rd Floor, Sri Krishna Mansion, 41, S End D Cross Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560041, India"
Upfinit Software Development India Private Limited,Corporates,N/A,"Tower-1, 351, 3rd and 4th Floor, Salarpuria, Hosur Rd, near Forum Mall, 7th Block, Bengaluru, Karnataka 560095, India"
Navriti Technologies (P). Ltd.,Corporates,N/A,"No 9, Kannika Sankeerna, Subramanya Pura Rd, Kadarenahalli, Banashankari, Bengaluru, Karnataka 560070, India"
INZ Axis Tech Services Pvt. Ltd. - OPTRA,Corporates,N/A,"750, First Floor, 10th Main Rd, Vinayaka HBCS, Nagarbhavi 2nd Stage, 2 Stage, Naagarabhaavi, Bengaluru, Karnataka 560072, India"
Fountainhead Prep,Corporates,N/A,"Landmark: Yoga Nation Studios, 9, S P Naidu Layout, New Police Station Rd, Vijinapura, Ramamurthy Nagar, Bengaluru, Karnataka 560016, India"
STEM Studio,Corporates,N/A,"1075-A, 10th Cross, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008, India"
EMPLIHI- World's First Smart Integrated Upskilling Platform,Corporates,N/A,"Bren Celestia, A 702, Sarjapur - Marathahalli Rd, Kaikondrahalli, Bengaluru, Karnataka 560035, India"
BMS College of Engineering,Schools,N/A,"Bull Temple Rd, Basavanagudi, Bengaluru, Karnataka 560004, India"
Ramaiah Institute of Technology,Schools,N/A,"MSRIT Post, M S Ramaiah Nagar, MSR Nagar, Bengaluru, Karnataka 560054, India"
Dayananda Sagar College of Engineering,Schools,N/A,"Shavige Malleshwara Hills, 91st Main Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560111, India"
Bangalore Institute of Technology,Schools,N/A,"Krishna Rajendra Rd, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India"
MVJ College of Engineering,Schools,N/A,"Channasandra Main Rd, near ITPL Main Road, 3G Homes Crimson Layout, Kadugodi, Bengaluru, Karnataka 560067, India"
AMC Engineering College,Schools,N/A,"AMC Campus, Bannerghatta Rd, Bengaluru, Karnataka 560083, India"
BMS Institute of Technology and Management,Schools,N/A,"Doddaballapura Main Rd, Yelahanka, Avalahalli, Bengaluru, Karnataka 560119, India"
New Horizon College of Engineering,Schools,N/A,"Outer Ring Rd, near Marathalli, Kaverappa Layout, Kadubeesanahalli, Bengaluru, Karnataka 560103, India"
SJB Institute of Technology,Schools,N/A,"No.67, BGS Health & Education City, Dr.Vishnuvardhan Rd, Kengeri, Bengaluru, Karnataka 560060, India"
Cambridge Institute of Technology - CIT,Schools,N/A,"Jai Bhuvaneshwari Layout Rd, SR Layout, Chikkabasavanapura, Krishnarajapuram, Bengaluru, Karnataka 560036, India"
UVCE,Schools,N/A,"K R Circle, Devaraj Urs Rd, Ambedkar Veedhi, Bengaluru, Karnataka 560001, India"
R. V. College of Engineering,Schools,N/A,"Mysore Rd, RV Vidyaniketan, Post, Bengaluru, Karnataka 560059, India"
Acharya Institute of Technology,Schools,N/A,"Acharya Dr Sarvepalli Radhakrishnan Rd, Soladevanahalli, Bengaluru, Karnataka 560107, India"
East Point College of Engineering And Technology,Schools,N/A,"Jnana Prabha, East Point Campus, Post, Virgo Nagar, Avalahalli, Bengaluru, Karnataka 560049, India"
Dr. Ambedkar Institute Of Technology,Schools,N/A,"BDA, AMBEDKAR INSTITUTE OF TECHNOLOGY, Outer Ring Rd, near Gnana Bharathi, 2 Stage, Naagarabhaavi, Bengaluru, Karnataka 560056, India"
Gopalan College of Engineering and Management,Schools,N/A,"Basavanagar, 181/1, 182/1, Seetharampalya - Hoodi Rd, Behind SAP Labs, Hoodi, Bengaluru, Karnataka 560048, India"
Don Bosco Institute Of Technology,Schools,N/A,"State Highway 17, Kumbalgodu, Bengaluru, Karnataka 560074, India"
